IE_XML_ID	IE_NAME	IE_ID	IE_ACTIVE	IE_ACTIVE_FROM	IE_ACTIVE_TO	IE_PREVIEW_PICTURE	IE_PREVIEW_TEXT	IE_PREVIEW_TEXT_TYPE	IE_DETAIL_PICTURE	IE_DETAIL_TEXT	IE_DETAIL_TEXT_TYPE	IE_CODE	IE_SORT	IE_TAGS	IP_PROP85	IP_PROP95	IP_PROP96	IP_PROP97	IP_PROP43	IP_PROP44	IP_PROP45	IP_PROP46	IP_PROP47	IP_PROP50	IP_PROP107	IP_PROP59	IP_PROP105	IP_PROP102	IP_PROP99	IP_PROP130	IP_PROP124	IP_PROP114	IP_PROP134	IP_PROP132	IP_PROP139	IP_PROP110	IP_PROP98	IP_PROP51	IP_PROP111	IP_PROP106	IP_PROP60	IP_PROP137	IP_PROP127	IP_PROP129	IP_PROP135	IP_PROP136	IP_PROP126	IP_PROP128	IP_PROP112	IP_PROP100	IP_PROP131	IP_PROP103	IP_PROP101	IP_PROP104	IP_PROP52	IP_PROP93	IP_PROP125	IP_PROP133	IP_PROP138	IP_PROP108	IC_GROUP0	IC_GROUP1	IC_GROUP2
63789	Термошкаф  T-6060200-150	63789	Y					text	/upload/iblock/a8e/a8e6d549c9185bb742534249ec39137c.png		html	T-6060200-150	500			600	600	200	itprom				T-6060200-150		Есть			Есть	Простая									/upload/iblock/8a6/8a6f3a240a52dfcce013563a28afebfc.png	IP55	Есть									150	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63789	Термошкаф  T-6060200-150	63789	Y					text	/upload/iblock/a8e/a8e6d549c9185bb742534249ec39137c.png		html	T-6060200-150	500			600	600	200	itprom				T-6060200-150		Есть			Есть	Простая									/upload/iblock/6ad/6ad4421511116303a8f047e859264b0b.png	IP55	Есть									150	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63790	Термошкаф  T-3030210-45	63790	Y					text	/upload/iblock/85d/85d2d16d76b606e18fb0a3afe04bdb00.png		html	T-3030210-45	500			300	300	210	itprom				T-3030210-45		Есть			Есть	Простая									/upload/iblock/1a8/1a86977ff20f1cbcaab1d0b376b820cb.png	IP55	Есть									45	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63790	Термошкаф  T-3030210-45	63790	Y					text	/upload/iblock/85d/85d2d16d76b606e18fb0a3afe04bdb00.png		html	T-3030210-45	500			300	300	210	itprom				T-3030210-45		Есть			Есть	Простая									/upload/iblock/e3d/e3dace2b8da36e9fdc7b19a1d1bacacd.png	IP55	Есть									45	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63790	Термошкаф  T-3030210-45	63790	Y					text	/upload/iblock/85d/85d2d16d76b606e18fb0a3afe04bdb00.png		html	T-3030210-45	500			300	300	210	itprom				T-3030210-45		Есть			Есть	Простая									/upload/iblock/876/8765d197b0f81f6297484329687f19fc.png	IP55	Есть									45	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63790	Термошкаф  T-3030210-45	63790	Y					text	/upload/iblock/85d/85d2d16d76b606e18fb0a3afe04bdb00.png		html	T-3030210-45	500			300	300	210	itprom				T-3030210-45		Есть			Есть	Простая									/upload/iblock/33e/33edb738ba8e8145db783d7ca96c5449.png	IP55	Есть									45	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63790	Термошкаф  T-3030210-45	63790	Y					text	/upload/iblock/85d/85d2d16d76b606e18fb0a3afe04bdb00.png		html	T-3030210-45	500			300	300	210	itprom				T-3030210-45		Есть			Есть	Простая									/upload/iblock/eb3/eb3e949827849db4b3936d2b6129ea26.png	IP55	Есть									45	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63791	Термошкаф  T-3040210-45	63791	Y					text	/upload/iblock/626/626ab908906b379a29598b628d9e5a8b.png		html	T-3040210-45	500			300	400	210	itprom				T-3040210-45		Есть			Есть	Простая									/upload/iblock/636/636d65855331fffcdcc9b42a8bcacde4.png	IP55	Есть									45	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63791	Термошкаф  T-3040210-45	63791	Y					text	/upload/iblock/626/626ab908906b379a29598b628d9e5a8b.png		html	T-3040210-45	500			300	400	210	itprom				T-3040210-45		Есть			Есть	Простая									/upload/iblock/ebe/ebe611a2b1c20bad1f10dcdcee3c7975.png	IP55	Есть									45	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
63791	Термошкаф  T-3040210-45	63791	Y					text	/upload/iblock/626/626ab908906b379a29598b628d9e5a8b.png		html	T-3040210-45	500			300	400	210	itprom				T-3040210-45		Есть			Есть	Простая									/upload/iblock/7a8/7a8b7dc67796c1fa70cf3c1d31bf49d5.png	IP55	Есть									45	Есть		Есть	Есть	Есть		Серия T				Есть	Термошкафы ITProm	Серия T	
